flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-74.53,61.66,26.68,65.12,1.49,0.111,0.608,0.15384615384615385,24,21,0.8571428571428571,0.75,True,0.30000000000000004,0.4166666666666667,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.8333333333333334,0.5,80.5,53.03,14.5,0.542,5.43,0.081,sHNM9CRbq5s,843,156
-9993.99,3874.61,167.02,3975.63,1.417,0.083,0.144,0.006963095593355217,70,59,0.8813559322033898,0.7428571428571429,True,0.8,1.0,0.11428571428571428,0.0,0.21428571428571427,0.0,0.0,0.014285714285714285,0.08571428571428572,0.05714285714285714,0.0,0.0,0.5142857142857142,0.783,72.08,100.45,8.58,0.013,5.03,0.124,qzsrVAC32qA,53045,10029
61.35,8.72,10.69,9.77,1.526,0.108,0.598,0.04568527918781726,9,8,0.875,0.7777777777777778,True,0.48888888888888893,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.167,17.08,12.85,5.92,0.167,3.09,0.151,e24G8B2ho_o,1111,194
-9173.31,3557.67,185.94,3650.7,1.494,0.112,0.142,0.008649225840896956,81,56,0.875,0.6049382716049383,True,0.8,1.0,0.037037037037037035,0.0,0.1728395061728395,0.0,0.0,0.04938271604938271,0.13580246913580246,0.024691358024691357,0.0,0.0,0.5802469135802469,0.728,92.44,110.46,9.16,0.024,4.9,0.111,fLOvKDYtvc0,51227,9337
-1524.57,619.91,73.56,637.78,1.438,0.096,0.278,0.04277743335399876,69,54,0.8888888888888888,0.6956521739130435,True,0.6666666666666667,0.6666666666666666,0.0,0.014492753623188406,0.21739130434782608,0.0,0.0,0.057971014492753624,0.028985507246376812,0.17391304347826086,0.0,0.0,0.5072463768115942,0.333,49.76,54.62,8.33,0.064,3.67,0.133,8NZ8bqBIXCg,8547,1606
63.48,8.66,10.81,10.63,1.489,0.106,0.453,0.013812154696132596,5,5,1.0,1.0,True,0.32000000000000006,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,17.05,8.52,6.5,0.069,2.96,0.088,o1iG80Cte4U,1992,364
69.5,7.4,9.96,9.26,1.438,0.093,0.491,0.0736196319018405,24,21,0.9047619047619048,0.7916666666666666,True,0.3333333333333335,0.375,0.125,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.0,0.0,0.5416666666666666,0.042,13.88,9.56,5.67,0.061,2.64,0.144,Icfpi6Qaq-4,1702,326
-856.94,359.85,69.26,370.41,1.608,0.147,0.402,0.06832971800433839,63,44,0.8863636363636364,0.6190476190476191,True,0.5206349206349208,0.4444444444444444,0.015873015873015872,0.19047619047619047,0.2857142857142857,0.0,0.031746031746031744,0.19047619047619047,0.031746031746031744,0.0,0.0,0.0,0.25396825396825395,1.4,94.2,89.49,9.3,0.131,4.55,0.069,0_gFDk3K3J8,5555,926
-249.69,126.84,39.71,131.59,1.593,0.129,0.53,0.18495297805642633,59,48,0.8333333333333334,0.6779661016949152,False,0.1694915254237288,0.288135593220339,0.0,0.03389830508474576,0.15254237288135594,0.0,0.0,0.0,0.0847457627118644,0.06779661016949153,0.0,0.03389830508474576,0.6271186440677966,0.667,109.67,27.97,15.0,0.528,3.79,0.125,QTXUASOFP4c,1847,319
-70.88,61.4,26.68,65.76,1.435,0.11,0.5,0.1794871794871795,28,18,0.5555555555555556,0.35714285714285715,True,0.22857142857142865,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.0,0.0,0.21428571428571427,0.0,26.33,25.37,5.83,0.325,3.03,0.184,VamIKPgN88Y,853,154
46.94,10.85,13.3,13.47,1.69,0.19,0.68,0.16,16,11,0.6363636363636364,0.4375,True,0.30000000000000004,0.3125,0.0,0.1875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.6875,0.167,16.83,7.22,6.5,0.241,2.89,0.109,OqzieBZoqKc,624,101
-153.98,92.12,34.94,97.08,1.494,0.134,0.528,0.1452991452991453,34,30,0.8666666666666667,0.7647058823529411,True,0.24705882352941178,0.35294117647058826,0.0,0.11764705882352941,0.17647058823529413,0.0,0.0,0.14705882352941177,0.08823529411764706,0.0,0.0,0.0,0.47058823529411764,1.0,119.0,8.49,11.5,0.654,5.55,0.134,X3-6nrSZC64,1262,234
-270.89,135.01,42.71,140.17,1.592,0.142,0.488,0.12462908011869436,42,34,0.8235294117647058,0.6666666666666666,True,0.36190476190476195,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.023809523809523808,0.0,0.07142857142857142,0.0,0.0,0.0,0.47619047619047616,1.5,171.5,241.12,15.0,0.474,4.55,0.128,J-xE3C7KSpY,1984,338
-6752.24,2625.49,182.88,2694.81,1.586,0.147,0.186,0.009587020648967551,65,59,0.9152542372881356,0.8307692307692308,True,0.8,1.0,0.0,0.0,0.2153846153846154,0.0,0.0,0.0,0.15384615384615385,0.09230769230769231,0.0,0.0,0.5384615384615384,0.317,56.04,87.53,7.56,0.015,4.53,0.102,R6taKRmLw2g,39188,6776
61.73,9.68,12.57,11.28,1.472,0.099,0.349,0.04122497055359246,35,17,0.8235294117647058,0.4,True,0.5485714285714287,0.45714285714285713,0.05714285714285714,0.0,0.02857142857142857,0.0,0.0,0.2571428571428571,0.0,0.2571428571428571,0.0,0.0,0.4,0.098,20.98,11.15,6.12,0.053,3.49,0.13,0ArMA5zGgI8,4612,849
-65.79,57.22,28.68,60.86,1.543,0.143,0.521,0.2482758620689655,36,30,0.8666666666666667,0.7222222222222222,False,0.10000000000000009,0.25,0.0,0.2222222222222222,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0,0.0,0.6388888888888888,1.0,49.33,11.59,9.33,0.436,3.3,0.115,ahQ7Fu7oFcA,839,145
-1154.54,473.9,82.29,488.3,1.623,0.159,0.323,0.07599029911075182,94,72,0.8472222222222222,0.648936170212766,True,0.6042553191489362,0.5106382978723404,0.02127659574468085,0.031914893617021274,0.1276595744680851,0.0,0.5319148936170213,0.0,0.0,0.031914893617021274,0.0,0.0,0.2553191489361702,10.5,640.0,803.27,13.5,0.959,8.24,0.097,PybtdiEjJHE,7542,1238
-1943.43,778.45,96.3,800.55,1.554,0.134,0.263,0.034023668639053255,69,38,0.631578947368421,0.34782608695652173,True,0.7826086956521741,0.9565217391304348,0.043478260869565216,0.11594202898550725,0.07246376811594203,0.0,0.37681159420289856,0.028985507246376812,0.0,0.08695652173913043,0.0,0.0,0.2753623188405797,12.0,1031.0,216.37,23.5,0.674,8.88,0.121,Q4vdkCf7Xwg,11866,2028
-356.58,169.57,44.32,175.8,1.513,0.121,0.485,0.1103448275862069,48,34,0.7941176470588235,0.5625,False,0.16666666666666674,0.25,0.4166666666666667,0.14583333333333334,0.08333333333333333,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.0,0.0625,0.22916666666666666,0.0,147.33,127.21,16.0,0.38,3.87,0.115,btC4-2DGkwY,2447,430
