flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,tUZaEuBnycc,63,10
-227.19,124.94,29.31,131.16,1.267,0.065,0.45,0.15853658536585366,52,44,0.9090909090909091,0.7692307692307693,False,0.09230769230769242,0.2692307692307692,0.038461538461538464,0.21153846153846154,0.17307692307692307,0.0,0.057692307692307696,0.0,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464,0.36538461538461536,0.091,31.09,29.07,6.27,0.102,3.13,0.213,Q88c7drpQrw,1617,330
71.66,8.0,10.13,10.37,1.369,0.079,0.45,0.005964214711729622,3,3,1.0,1.0,True,0.6666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.067,17.7,11.37,5.6,0.055,2.99,0.147,oc6vCBmvrzk,2702,497
-585.77,260.41,49.89,269.88,1.378,0.101,0.386,0.13452914798206278,90,68,0.7794117647058824,0.5888888888888889,True,0.3155555555555556,0.3111111111111111,0.1,0.022222222222222223,0.16666666666666666,0.0,0.0,0.07777777777777778,0.044444444444444446,0.011111111111111112,0.0,0.0,0.5777777777777777,0.083,57.42,55.41,8.25,0.134,3.32,0.139,19KrsHv1OQw,3512,662
68.3,6.95,10.65,8.77,1.482,0.109,0.493,0.05360824742268041,26,18,0.8333333333333334,0.5769230769230769,True,0.32307692307692304,0.3076923076923077,0.2692307692307692,0.3076923076923077,0.038461538461538464,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.15384615384615385,0.027,13.35,6.52,5.27,0.042,2.84,0.085,S3CegUhEd7Y,2801,483
-396.76,186.6,44.72,193.96,1.436,0.112,0.434,0.0861344537815126,41,26,0.7692307692307693,0.4878048780487805,False,0.05853658536585371,0.24390243902439024,0.024390243902439025,0.14634146341463414,0.21951219512195122,0.0,0.12195121951219512,0.0,0.12195121951219512,0.024390243902439025,0.0,0.04878048780487805,0.2926829268292683,0.25,61.25,57.69,8.75,0.187,3.36,0.12,9p1Erx1aaTg,2531,474
67.95,8.09,16.61,10.86,1.433,0.112,0.27,0.01606425702811245,24,15,0.8,0.5,True,0.7166666666666668,0.7916666666666666,0.041666666666666664,0.25,0.125,0.0,0.0,0.4583333333333333,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.267,17.79,8.29,6.56,0.025,3.29,0.122,XszJGQzTb40,8185,1501
-75.43,60.55,27.37,63.52,1.561,0.122,0.561,0.1891891891891892,28,27,0.9629629629629629,0.9285714285714286,False,0.2142857142857144,0.2857142857142857,0.0,0.07142857142857142,0.25,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.10714285714285714,0.42857142857142855,2.0,149.0,0.0,18.0,0.9,5.19,0.128,UOe4tcUhbQI,825,148
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,68XsPhyMEZA,63,10
43.7,10.77,13.13,13.04,1.754,0.211,0.496,0.09787234042553192,23,14,0.7142857142857143,0.43478260869565216,True,0.27826086956521734,0.391304347826087,0.13043478260869565,0.13043478260869565,0.34782608695652173,0.0,0.08695652173913043,0.21739130434782608,0.0,0.0,0.0,0.0,0.08695652173913043,0.5,14.75,7.44,5.88,0.076,2.97,0.021,ZCpSiSS0Yv4,1467,235
