flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
76.22,6.66,10.5,10.6,1.349,0.103,0.644,0.04666666666666667,7,7,1.0,1.0,True,0.40000000000000013,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,16.78,7.93,5.33,0.194,3.08,0.205,pGdHt-qvpkw,786,150
67.59,7.28,11.0,9.65,1.479,0.108,0.39,0.009328358208955223,5,5,1.0,1.0,True,0.72,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.41,13.92,6.61,5.62,0.053,2.7,0.074,jYUj8ZVNO3A,3048,537
-764.22,329.28,48.83,339.34,1.364,0.076,0.335,0.057511737089201875,49,43,0.9302325581395349,0.8163265306122449,True,0.5387755102040817,0.5102040816326531,0.0,0.20408163265306123,0.24489795918367346,0.0,0.02040816326530612,0.0,0.02040816326530612,0.12244897959183673,0.0,0.02040816326530612,0.3673469387755102,0.269,34.04,29.02,7.38,0.101,3.22,0.208,oZPANn1S0oo,4321,837
-4098.3,1605.18,148.78,1648.45,1.614,0.158,0.205,0.01694510739856802,71,58,0.896551724137931,0.7323943661971831,True,0.8,1.0,0.19718309859154928,0.14084507042253522,0.16901408450704225,0.0,0.028169014084507043,0.0,0.08450704225352113,0.028169014084507043,0.0,0.0,0.352112676056338,0.364,97.05,121.92,10.02,0.042,5.19,0.117,3NfQj4OComI,24617,4180
-632.95,277.43,49.54,286.48,1.432,0.093,0.404,0.13043478260869565,93,79,0.8481012658227848,0.7204301075268817,True,0.4086021505376345,0.3870967741935484,0.10752688172043011,0.0967741935483871,0.08602150537634409,0.0,0.0,0.21505376344086022,0.053763440860215055,0.043010752688172046,0.0,0.043010752688172046,0.3548387096774194,0.818,66.09,84.93,10.27,0.141,4.47,0.154,WOG7QrZIfGk,3814,713
-627.43,272.93,56.11,281.36,1.547,0.124,0.47,0.14245014245014245,100,82,0.926829268292683,0.76,True,0.472,0.43,0.17,0.28,0.12,0.0,0.0,0.16,0.0,0.02,0.0,0.0,0.25,1.0,118.67,95.74,12.0,0.294,4.69,0.111,9VF0hud9rW8,4004,698
-407.06,191.27,41.45,198.23,1.402,0.092,0.477,0.15725806451612903,78,66,0.9696969696969697,0.8205128205128205,True,0.36410256410256414,0.358974358974359,0.15384615384615385,0.28205128205128205,0.02564102564102564,0.0,0.0,0.14102564102564102,0.02564102564102564,0.01282051282051282,0.0,0.05128205128205128,0.3076923076923077,4.0,507.0,0.0,17.0,0.974,11.01,0.17,yEN21v_I9EA,2594,491
-187.06,107.42,30.53,112.37,1.369,0.084,0.54,0.19202898550724637,53,48,0.8958333333333334,0.8113207547169812,True,0.18867924528301883,0.33962264150943394,0.11320754716981132,0.1509433962264151,0.11320754716981132,0.0,0.03773584905660377,0.05660377358490566,0.09433962264150944,0.07547169811320754,0.0,0.018867924528301886,0.33962264150943394,0.75,71.0,15.81,9.0,0.394,4.28,0.173,IzFlvWDNWK8,1422,275
-137.15,82.82,34.94,86.72,1.631,0.153,0.581,0.18048780487804877,37,32,0.875,0.7567567567567568,False,0.20540540540540553,0.2972972972972973,0.1891891891891892,0.35135135135135137,0.16216216216216217,0.0,0.0,0.05405405405405406,0.0,0.08108108108108109,0.0,0.0,0.16216216216216217,1.0,207.0,0.0,20.0,0.95,6.07,0.092,NGfWLmppEsQ,1183,205
-508.28,231.97,38.34,240.08,1.314,0.064,0.405,0.10613598673300166,64,57,0.9122807017543859,0.8125,True,0.3500000000000001,0.375,0.0625,0.078125,0.1875,0.0,0.03125,0.03125,0.171875,0.046875,0.0,0.015625,0.375,0.15,31.35,39.23,6.35,0.096,3.7,0.179,bRlS75AaBxI,3099,605
-74.55,62.91,25.98,67.0,1.43,0.101,0.532,0.1875,30,22,0.9090909090909091,0.6666666666666666,True,0.28,0.3333333333333333,0.1,0.0,0.23333333333333334,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.6,0.4,32.0,37.92,6.2,0.216,3.52,0.125,lvKBxaOpOHs,826,159
-8432.86,3273.54,179.49,3359.55,1.476,0.114,0.133,0.004599599009317137,39,35,0.8857142857142857,0.7948717948717948,True,0.8,1.0,0.0,0.0,0.2564102564102564,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.5641025641025641,0.419,67.09,64.6,10.68,0.013,4.06,0.146,nV9JW3AHqfg,46536,8466
58.63,9.0,12.1,10.67,1.563,0.12,0.387,0.001639344262295082,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,15.97,7.0,6.28,0.053,3.09,0.104,c4Lcq9siq1I,3672,615
38.47,12.8,13.43,13.47,1.753,0.165,0.633,0.043478260869565216,7,6,0.8333333333333334,0.7142857142857143,True,0.6285714285714286,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,20.5,7.84,6.88,0.152,3.44,0.085,48e5swYBT_Y,1042,162
73.3,6.73,11.67,8.78,1.4,0.084,0.392,0.011097410604192354,9,8,0.875,0.7777777777777778,True,0.6222222222222222,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.6666666666666666,0.053,11.83,13.95,4.36,0.03,3.2,0.143,DkpesT4gUBI,4501,844
84.76,4.41,8.34,6.27,1.299,0.058,0.401,0.020689655172413793,9,8,0.875,0.7777777777777778,True,0.40000000000000013,0.4444444444444444,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.4444444444444444,0.024,11.17,9.17,4.34,0.039,2.79,0.229,tEfXXJ3al4U,2250,438
-8929.02,3465.21,170.46,3556.23,1.426,0.097,0.137,0.0062056737588652485,56,45,0.8666666666666667,0.6964285714285714,True,0.8,1.0,0.08928571428571429,0.05357142857142857,0.26785714285714285,0.0,0.0,0.0,0.05357142857142857,0.07142857142857142,0.0,0.0,0.4642857142857143,0.359,50.79,56.41,7.3,0.009,3.97,0.127,JtHDbQ4vHyM,46933,8987
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,pBn4tCeI4tA,63,10
-1236.87,507.49,73.33,522.02,1.528,0.117,0.276,0.05707762557077625,75,39,0.7948717948717948,0.41333333333333333,True,0.6613333333333333,0.6533333333333333,0.17333333333333334,0.013333333333333334,0.08,0.0,0.0,0.02666666666666667,0.0,0.05333333333333334,0.0,0.0,0.6533333333333333,7.0,331.0,276.7,21.25,0.333,4.34,0.079,InILJ1v28_o,7455,1314
48.22,17.31,13.02,19.77,1.354,0.069,0.504,0.13714285714285715,48,43,0.9069767441860465,0.8125,False,0.06666666666666665,0.22916666666666666,0.020833333333333332,0.10416666666666667,0.10416666666666667,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.6875,0.455,32.55,28.44,6.82,0.202,3.26,0.151,hmSCH5jvPYw,1815,348
56.62,9.26,12.75,10.83,1.588,0.115,0.319,0.014986376021798364,11,10,0.9,0.8181818181818182,True,0.6181818181818182,0.6363636363636364,0.5454545454545454,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.128,16.02,11.47,5.51,0.042,3.17,0.133,xdOBwXBxffI,4488,742
-417.41,195.69,41.02,202.96,1.38,0.088,0.402,0.09,45,40,0.875,0.7777777777777778,True,0.3466666666666667,0.37777777777777777,0.2222222222222222,0.15555555555555556,0.15555555555555556,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.4444444444444444,0.778,57.11,72.97,9.67,0.141,3.68,0.144,yfIUeBZ9Rtw,2679,500
