flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-221.09,117.88,31.12,121.09,1.495,0.081,0.424,0.18855218855218855,56,33,0.7575757575757576,0.44642857142857145,False,0.11428571428571432,0.25,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.0,0.0,0.8928571428571429,4.0,297.0,0.0,21.0,0.941,3.91,0.091,98pNrNp6fOE,1633,296
57.35,10.2,13.92,12.86,1.528,0.131,0.395,0.02176541717049577,18,17,0.9411764705882353,0.8888888888888888,True,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.0,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.5555555555555556,0.058,16.71,15.45,5.63,0.033,3.35,0.137,C62YxOnLe8A,4595,834
48.1,11.52,12.87,13.27,1.636,0.145,0.527,0.07692307692307693,17,11,0.7272727272727273,0.47058823529411764,True,0.3294117647058823,0.35294117647058826,0.0,0.0,0.35294117647058826,0.0,0.0,0.29411764705882354,0.058823529411764705,0.0,0.0,0.0,0.29411764705882354,0.273,20.27,8.59,5.64,0.129,3.0,0.072,qLhKfH6om84,1354,223
-104.22,70.77,28.03,72.9,1.601,0.11,0.52,0.16091954022988506,28,19,0.7894736842105263,0.5357142857142857,True,0.1428571428571428,0.32142857142857145,0.10714285714285714,0.0,0.35714285714285715,0.0,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.0,0.35714285714285715,0.0,176.0,0.0,21.0,0.917,3.4,0.097,WT0hnmg7yhs,1033,174
35.61,8.79,3.13,0.8,2.0,0.0,1.0,2.0,4,4,1.0,1.0,True,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.33,0.0,M8vbbBJOMN0,14,2
-397.52,186.96,37.88,192.92,1.433,0.078,0.489,0.1488469601677149,71,61,0.9016393442622951,0.7746478873239436,False,0.06760563380281703,0.23943661971830985,0.04225352112676056,0.07042253521126761,0.1267605633802817,0.0,0.04225352112676056,0.0,0.056338028169014086,0.07042253521126761,0.0,0.0,0.5915492957746479,0.333,81.33,44.49,12.5,0.317,3.0,0.154,YbfeLTjMpdg,2602,478
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,bAgJqcsEK2A,63,10
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,iKecm-NLRJI,63,10
-1378.86,565.06,67.51,581.7,1.383,0.088,0.35,0.05798090040927694,85,78,0.9358974358974359,0.8588235294117647,True,0.6447058823529412,0.611764705882353,0.058823529411764705,0.07058823529411765,0.07058823529411765,0.0,0.023529411764705882,0.047058823529411764,0.011764705882352941,0.11764705882352941,0.0,0.03529411764705882,0.5647058823529412,0.65,75.15,158.08,8.55,0.166,6.72,0.166,me0zy_fuWyc,7676,1464
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,d_WeYz91yWc,63,10
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,M6UHqLtybjw,63,10
-1781.78,715.91,94.71,735.9,1.574,0.141,0.318,0.031233171782444804,58,37,0.7297297297297297,0.46551724137931033,True,0.7379310344827588,0.8448275862068966,0.1724137931034483,0.05172413793103448,0.15517241379310345,0.0,0.0,0.017241379310344827,0.08620689655172414,0.10344827586206896,0.0,0.0,0.41379310344827586,0.857,90.95,145.41,9.86,0.139,5.02,0.105,wtlNapcs0j0,10795,1846
-2709.98,1073.68,104.04,1102.82,1.52,0.114,0.232,0.03797921891795056,106,77,0.8441558441558441,0.6132075471698113,True,0.8,1.0,0.0,0.009433962264150943,0.29245283018867924,0.0,0.0,0.08490566037735849,0.08490566037735849,0.07547169811320754,0.0,0.0,0.4528301886792453,0.315,53.19,58.66,7.93,0.039,4.17,0.114,_pI6qOLsF1w,15755,2785
69.71,7.15,33.45,9.68,1.446,0.109,0.144,0.0006350819255683983,5,5,1.0,1.0,True,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.118,15.08,8.94,5.64,0.003,3.09,0.133,B1hXPL7pgvs,43893,7838
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,1V4nben5SWM,63,10
-271.16,139.77,34.42,145.83,1.367,0.084,0.496,0.22625698324022347,81,67,0.8656716417910447,0.7160493827160493,False,0.09876543209876543,0.2839506172839506,0.037037037037037035,0.14814814814814814,0.16049382716049382,0.0,0.0,0.06172839506172839,0.037037037037037035,0.14814814814814814,0.0,0.04938271604938271,0.35802469135802467,0.571,52.86,45.43,9.43,0.24,3.42,0.159,1ihutUU87eQ,1861,359
-367.08,175.01,40.59,181.15,1.445,0.097,0.483,0.1511111111111111,68,57,0.8421052631578947,0.7058823529411765,True,0.1941176470588235,0.38235294117647056,0.029411764705882353,0.07352941176470588,0.16176470588235295,0.0,0.0,0.014705882352941176,0.10294117647058823,0.14705882352941177,0.0,0.04411764705882353,0.4264705882352941,0.25,29.19,30.69,6.31,0.154,3.03,0.165,76MIBypbQXE,2379,448
-344.81,168.92,36.44,175.69,1.326,0.079,0.464,0.13895216400911162,61,53,0.9056603773584906,0.7868852459016393,True,0.20983606557377055,0.32786885245901637,0.01639344262295082,0.26229508196721313,0.11475409836065574,0.0,0.0,0.03278688524590164,0.06557377049180328,0.11475409836065574,0.0,0.0,0.39344262295081966,0.3,23.0,22.9,5.5,0.063,3.03,0.202,AIb8ZO36zc0,2251,436
-9412.57,3651.66,163.39,3747.27,1.395,0.084,0.145,0.005374644325007904,51,40,0.85,0.6666666666666666,True,0.8,1.0,0.0784313725490196,0.0,0.37254901960784315,0.0,0.0,0.0,0.0196078431372549,0.11764705882352941,0.0,0.0,0.4117647058823529,0.47,49.45,94.26,6.97,0.008,4.67,0.153,TiR0pUDxW_k,50239,9426
-146.36,87.58,33.89,91.22,1.571,0.134,0.576,0.13302752293577982,29,25,0.92,0.7931034482758621,False,0.15172413793103456,0.27586206896551724,0.0,0.0,0.3448275862068966,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.06896551724137931,0.5172413793103449,5.0,225.0,0.0,13.0,0.933,4.12,0.124,onw0ie_Z4S4,1332,220
-7785.36,3025.47,154.92,3104.76,1.441,0.091,0.171,0.005874090154514111,46,41,0.9024390243902439,0.8043478260869565,True,0.8,1.0,0.0,0.021739130434782608,0.32608695652173914,0.0,0.0,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.0,0.021739130434782608,0.5434782608695652,0.294,45.72,58.07,7.42,0.01,4.07,0.139,qk97R_-DeA4,42257,7798
-3947.12,1550.68,111.45,1592.15,1.441,0.09,0.17,0.006103637269556552,49,42,0.8809523809523809,0.7551020408163265,True,0.8,1.0,0.0,0.02040816326530612,0.30612244897959184,0.0,0.02040816326530612,0.04081632653061224,0.12244897959183673,0.02040816326530612,0.0,0.02040816326530612,0.4489795918367347,0.284,43.63,55.01,7.38,0.009,4.06,0.137,YSdcmdTy4RA,43299,7995
-421.67,192.56,53.26,199.61,1.61,0.159,0.447,0.15020576131687244,73,45,0.8444444444444444,0.5205479452054794,False,0.13150684931506862,0.2602739726027397,0.1506849315068493,0.0,0.2602739726027397,0.0,0.0273972602739726,0.2054794520547945,0.0136986301369863,0.0,0.0,0.0,0.3424657534246575,5.5,249.0,24.04,24.0,0.603,4.88,0.1,NV5Lh1QsoQE,2765,486
-123.62,76.46,37.88,80.7,1.686,0.2,0.578,0.20430107526881722,38,32,0.875,0.7368421052631579,True,0.24210526315789482,0.34210526315789475,0.0,0.13157894736842105,0.15789473684210525,0.0,0.3157894736842105,0.02631578947368421,0.07894736842105263,0.0,0.0,0.0,0.2894736842105263,1.0,192.0,0.0,22.0,0.933,4.73,0.125,fLjaSApoDac,1165,187
-757.98,324.93,57.92,335.22,1.458,0.111,0.344,0.08023952095808383,67,51,0.8627450980392157,0.6567164179104478,True,0.5432835820895523,0.5522388059701493,0.0,0.0,0.19402985074626866,0.0,0.029850746268656716,0.014925373134328358,0.0,0.13432835820895522,0.0,0.014925373134328358,0.6119402985074627,0.333,41.05,39.47,7.29,0.118,3.38,0.167,c6eOVapEk9I,4466,831
-255.65,134.62,29.31,140.2,1.328,0.061,0.47,0.16379310344827586,57,52,0.9230769230769231,0.8421052631578947,True,0.3087719298245615,0.40350877192982454,0.017543859649122806,0.03508771929824561,0.10526315789473684,0.0,0.0,0.0,0.017543859649122806,0.05263157894736842,0.0,0.05263157894736842,0.7192982456140351,0.091,32.82,31.72,6.64,0.156,3.17,0.194,IsQP8BzeCzQ,1756,344
-1600.56,650.14,70.96,668.98,1.388,0.085,0.261,0.04564315352697095,77,57,0.8070175438596491,0.5974025974025974,True,0.7116883116883117,0.7792207792207793,0.09090909090909091,0.012987012987012988,0.14285714285714285,0.0,0.0,0.0,0.09090909090909091,0.03896103896103896,0.0,0.025974025974025976,0.5974025974025974,0.192,33.6,37.87,6.46,0.037,3.51,0.147,V3EZvOEtCIs,8713,1676
-94.35,74.86,20.27,79.64,1.221,0.046,0.518,0.2413793103448276,49,35,0.7714285714285715,0.5510204081632653,False,0.14693877551020407,0.2857142857142857,0.0,0.02040816326530612,0.12244897959183673,0.0,0.0,0.0,0.04081632653061224,0.14285714285714285,0.0,0.10204081632653061,0.5714285714285714,0.0,14.2,16.17,3.6,0.108,2.76,0.211,3Q_Pmf5L4vw,959,202
-1005.39,422.29,54.54,435.24,1.348,0.075,0.313,0.03856749311294766,42,34,0.8823529411764706,0.7142857142857143,True,0.5523809523809524,0.47619047619047616,0.047619047619047616,0.0,0.11904761904761904,0.0,0.023809523809523808,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.6666666666666666,0.208,48.21,50.27,7.46,0.084,4.36,0.169,go13gzfx4sg,5640,1092
-61.7,57.89,21.19,60.48,1.434,0.069,0.524,0.14285714285714285,21,16,0.875,0.6666666666666666,False,0.09523809523809534,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.23809523809523808,0.2,31.0,30.0,7.0,0.476,3.56,0.129,hR9ekE3zk6E,833,146
