video_id,entity_total,count_medication,count_detailed_description,count_disease_disorder,count_lab_value,count_diagnostic_procedure,count_dosage,count_frequency,count_administration,count_therapeutic_procedure,count_biological_structure,count_activity,count_nonbiological_location,count_severity,count_coreference,count_family_history,count_outcome,count_sign_symptom,count_duration,count_history,count_occupation,count_clinical_event,count_date,count_age,count_sex,count_subject,count_time,count_other_event,count_quantitative_concept,count_other_entity,count_personal_background,count_qualitative_concept
Hxu-Pc5GStA,83,3.0,12.0,12.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
aenmQ-Jcfas,50,4.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,0.0,0.0
HTOrcXnOvQM,55,0.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,12.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
KmQ1gKpNkoQ,77,0.0,16.0,0.0,0.0,3.0,0.0,1.0,0.0,26.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
WI1vbFb4q8Y,57,2.0,8.0,1.0,2.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,4.0,3.0,1.0,0.0,5.0,1.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
BO65FLleG-U,38,0.0,7.0,0.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
IlhqEf8EOCg,88,2.0,41.0,2.0,3.0,12.0,2.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
U98DaBJVCIE,70,1.0,14.0,1.0,10.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,6.0,0.0,3.0,1.0,1.0,7.0,1.0,3.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
cCpWBFsSzXY,75,0.0,8.0,4.0,7.0,2.0,0.0,3.0,0.0,8.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,5.0,3.0,0.0,4.0,2.0,1.0,3.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0
O0CxSNd1zPs,51,0.0,6.0,12.0,7.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
hOsXrUg9laU,56,0.0,8.0,3.0,10.0,2.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
di_ldepUXtQ,91,0.0,13.0,0.0,13.0,6.0,0.0,0.0,0.0,10.0,1.0,4.0,2.0,0.0,10.0,5.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,0.0,2.0,1.0,0.0,0.0,1.0
