video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_length,meta_description_unique_words,meta_view_count,meta_like_count,meta_comment_count,meta_subscriber_count,meta_channel_upload_count,meta_sentiment,meta_sentence_count,flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,text_length,word_count
aqWHMnciM5Q,True,True,174.0,27,24,170,2,0,22200,1782,Very Positive,1,-247.7,132.52,28.68,138.04,1.282,0.059,0.469,0.1478260869565217,51.0,50.0,0.98,0.9607843137254902,True,0.3215686274509803,0.3137254901960784,0.0196078431372549,0.0588235294117647,0.0980392156862745,0.0,0.0,0.0392156862745098,0.1372549019607843,0.0392156862745098,0.0,0.0196078431372549,0.5882352941176471,0.875,44.38,55.98,6.5,0.187,3.18,0.186,1771.0,344.0
at4XTk8986k,True,True,344.0,67,52,1088,8,0,21200,805,Very Negative,4,-917.27,387.39,55.49,399.23,1.398,0.085,0.374,0.0617529880478087,62.0,49.0,0.8571428571428571,0.6774193548387096,True,0.5741935483870968,0.5483870967741935,0.1451612903225806,0.064516129032258,0.1612903225806451,0.0,0.0,0.032258064516129,0.0967741935483871,0.064516129032258,0.0,0.0161290322580645,0.4193548387096774,0.571,73.71,68.56,9.29,0.116,4.9,0.154,5248.0,1002.0
auSvtbHqszc,True,True,71.0,62,51,2318,0,0,128000,2724,Positive,4,-40.07,50.65,20.27,53.7,1.383,0.07,0.578,0.1782945736434108,23.0,21.0,0.9047619047619048,0.8260869565217391,False,0.0695652173913043,0.217391304347826,0.0,0.1739130434782608,0.3478260869565217,0.0,0.0,0.0,0.0869565217391304,0.1739130434782608,0.0,0.1304347826086956,0.0869565217391304,0.167,22.83,10.63,6.67,0.3,2.24,0.212,662.0,128.0
awC12PFFUuM,True,True,444.0,48,43,43623,461,109,4200,1167,Positive,4,-960.34,404.83,54.54,417.35,1.355,0.078,0.359,0.056083650190114,59.0,50.0,0.88,0.7457627118644068,True,0.5559322033898306,0.4745762711864407,0.1016949152542373,0.0677966101694915,0.135593220338983,0.0,0.0,0.0,0.0847457627118644,0.0847457627118644,0.0,0.0169491525423728,0.5084745762711864,0.333,46.04,37.77,8.08,0.085,3.85,0.168,5314.0,1054.0
axlPSEK0Xo8,True,False,780.0,0,0,3773,26,0,98900,2838,,0,-2037.48,814.67,102.9,837.72,1.549,0.146,0.28,0.024,51.0,46.0,0.9130434782608696,0.8235294117647058,True,0.7529411764705882,0.8823529411764706,0.0392156862745098,0.0,0.392156862745098,0.0,0.0588235294117647,0.0196078431372549,0.1372549019607843,0.0,0.0,0.0392156862745098,0.3137254901960784,21.333,717.0,585.05,20.0,0.663,15.39,0.097,12027.0,2125.0
b-rUUzE1tzQ,True,True,62.0,53,42,4687,16,0,50000,1839,Negative,4,-90.66,72.11,18.24,75.69,1.285,0.038,0.586,0.2105263157894736,40.0,37.0,0.918918918918919,0.85,False,0.1700000000000001,0.275,0.125,0.0,0.1,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.625,0.0,27.71,27.2,5.71,0.2,2.7,0.201,944.0,187.0
b2edo_scIpI,True,True,242.0,64,54,110100,497,30,31200,935,Neutral,3,-563.69,247.65,60.26,256.67,1.585,0.159,0.458,0.0757097791798107,48.0,40.0,0.875,0.7291666666666666,True,0.5250000000000001,0.5625,0.0833333333333333,0.0208333333333333,0.125,0.0,0.0,0.0208333333333333,0.1458333333333333,0.1041666666666666,0.0,0.0208333333333333,0.4791666666666667,0.8,130.6,146.84,13.0,0.495,4.81,0.118,3585.0,633.0
b37_YcMwAo0,True,True,3097.0,74,54,183,0,0,1400,201,Neutral,4,-7060.57,2745.26,175.37,2817.75,1.524,0.129,0.146,0.0068569829275118,49.0,35.0,0.7714285714285715,0.5510204081632653,True,0.8,1.0,0.0408163265306122,0.0,0.1020408163265306,0.0,0.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.8367346938775511,0.417,67.32,81.47,8.76,0.017,4.29,0.119,39573.0,7127.0
b5i_SCogaWI,True,True,6960.0,59,45,66,0,1,14700,1456,Neutral,3,-19181.18,7404.31,255.53,7596.22,1.434,0.103,0.133,0.0042399172699069,82.0,65.0,0.8461538461538461,0.6707317073170732,True,0.8,1.0,0.0365853658536585,0.073170731707317,0.1951219512195122,0.0,0.0,0.0365853658536585,0.0609756097560975,0.0609756097560975,0.0,0.0121951219512195,0.524390243902439,0.406,46.65,61.23,7.46,0.005,4.08,0.128,102092.0,19289.0
b5y-wVFruQQ,True,True,215.0,41,36,376,4,0,42900,959,Positive,4,-420.96,198.67,37.41,206.59,1.302,0.071,0.38,0.1312741312741312,68.0,53.0,0.8113207547169812,0.6323529411764706,True,0.188235294117647,0.3088235294117647,0.0147058823529411,0.088235294117647,0.0441176470588235,0.0,0.0,0.0735294117647058,0.1323529411764706,0.0294117647058823,0.0,0.0294117647058823,0.5882352941176471,0.5,37.5,25.54,7.86,0.165,3.31,0.198,2491.0,512.0
b6Qjmv7l8Z8,True,True,3600.0,19,17,207,2,0,60900,808,Neutral,1,-8506.87,3299.76,207.59,3386.58,1.583,0.152,0.181,0.0055632823365785,48.0,44.0,0.9318181818181818,0.8541666666666666,True,0.8,1.0,0.1041666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.5416666666666666,0.881,87.76,132.57,10.88,0.018,4.96,0.095,49156.0,8610.0
