search_term,value,base_keyword,tag,type
how much is a kidney transplant,80,kidney transplant,rising,query
how much is a kidney,80,kidney transplant,rising,query
selena gomez kidney transplant donor,80,kidney transplant,rising,query
what is a kidney transplant,80,kidney transplant,rising,query
can you get a kidney transplant,80,kidney transplant,rising,query
kidney transplant near me,60,kidney transplant,rising,query
how much for a kidney transplant,60,kidney transplant,rising,query
tacrolimus,50,kidney transplant,rising,query
kidney transplant centers near me,50,kidney transplant,rising,query
kidney transplant waiting list by state,50,kidney transplant,rising,query
how long can you live with a kidney transplant,50,kidney transplant,rising,query
double lung transplant,100,lung transplant,top,query
heart transplant,59,lung transplant,top,query
heart lung transplant,55,lung transplant,top,query
lung transplant survival,48,lung transplant,top,query
lung transplant survival rate,33,lung transplant,top,query
lung transplant surgery,33,lung transplant,top,query
covid lung transplant,29,lung transplant,top,query
lung transplant cost,29,lung transplant,top,query
lung transplant life expectancy,28,lung transplant,top,query
lung transplant cystic fibrosis,23,lung transplant,top,query
cystic fibrosis,23,lung transplant,top,query
lung transplant rejection,22,lung transplant,top,query
lung transplant icd 10,22,lung transplant,top,query
lung transplant list,20,lung transplant,top,query
kidney transplant,20,lung transplant,top,query
liver transplant,20,lung transplant,top,query
heart and lung transplant,19,lung transplant,top,query
copd lung transplant,18,lung transplant,top,query
copd,18,lung transplant,top,query
lung transplant center,18,lung transplant,top,query
can you get a lung transplant,17,lung transplant,top,query
first lung transplant,16,lung transplant,top,query
ben askren lung transplant,16,lung transplant,top,query
ben askren,16,lung transplant,top,query
pulmonary fibrosis lung transplant,15,lung transplant,top,query
ben askren lung transplant,157300,lung transplant,rising,query
ben askren double lung transplant,63250,lung transplant,rising,query
ben askren,29800,lung transplant,rising,query
why did ben askren need a lung transplant,25200,lung transplant,rising,query
why does ben askren need a lung transplant,6950,lung transplant,rising,query
why did ben askren need a double lung transplant,1600,lung transplant,rising,query
double lung transplant survival rates by age,900,lung transplant,rising,query
who paid for ben askren lung transplant,600,lung transplant,rising,query
how much is a double lung transplant,550,lung transplant,rising,query
lung transplant survival rates 2020,350,lung transplant,rising,query
pig lung transplant,250,lung transplant,rising,query
which statement is true about both lung transplant and bullectomy?,190,lung transplant,rising,query
lung transplant survival rates by age,190,lung transplant,rising,query
how much does a double lung transplant cost,170,lung transplant,rising,query
lung transplant for covid,160,lung transplant,rising,query
clad lung transplant,140,lung transplant,rising,query
how much is a lung transplant,110,lung transplant,rising,query
double lung transplant cost,110,lung transplant,rising,query
is lung transplant possible,70,lung transplant,rising,query
double lung transplant survival rate,70,lung transplant,rising,query
life expectancy after double lung transplant,60,lung transplant,rising,query
lung transplant survival rate,60,lung transplant,rising,query
can you have a lung transplant,60,lung transplant,rising,query
can you get a lung transplant,50,lung transplant,rising,query
kidney transplant,100,pancreas transplant,top,query
pancreas transplant diabetes,73,pancreas transplant,top,query
kidney and pancreas transplant,46,pancreas transplant,top,query
pancreas transplant cancer,35,pancreas transplant,top,query
can you get a pancreas transplant,32,pancreas transplant,top,query
pancreas transplant for diabetes,32,pancreas transplant,top,query
pancreas transplant icd 10,24,pancreas transplant,top,query
pancreas transplant cost,23,pancreas transplant,top,query
pancreas transplant for cancer,17,pancreas transplant,top,query
can you have a pancreas transplant,17,pancreas transplant,top,query
pancreas transplant for type 1 diabetes,15,pancreas transplant,top,query
pancreas transplant surgery,15,pancreas transplant,top,query
pig pancreas transplant,3,pancreas transplant,top,query
pig pancreas transplant,150,pancreas transplant,rising,query
can you get a pancreas transplant,70,pancreas transplant,rising,query
can you have a pancreas transplant,60,pancreas transplant,rising,query
Organ transplantation,100,heart transplant,top,topic
Heart,100,heart transplant,top,topic
Heart transplantation,98,heart transplant,top,topic
Pig,8,heart transplant,top,topic
Patient,7,heart transplant,top,topic
Surgery,5,heart transplant,top,topic
Kidney,4,heart transplant,top,topic
Heart failure,3,heart transplant,top,topic
Hospital,3,heart transplant,top,topic
Lung,3,heart transplant,top,topic
Human,3,heart transplant,top,topic
Disease,3,heart transplant,top,topic
Kidney transplantation,3,heart transplant,top,topic
Organ,3,heart transplant,top,topic
Life,2,heart transplant,top,topic
Lung transplantation,2,heart transplant,top,topic
Liver,2,heart transplant,top,topic
Survival rate,2,heart transplant,top,topic
Life expectancy,2,heart transplant,top,topic
Donation,2,heart transplant,top,topic
Liver transplantation,1,heart transplant,top,topic
Artificial heart,1,heart transplant,top,topic
ICD-10,1,heart transplant,top,topic
ICD-10-CM,1,heart transplant,top,topic
Organ donation,1,heart transplant,top,topic
Pig,Breakout,heart transplant,rising,topic
Asian bleeding-heart,Breakout,heart transplant,rising,topic
long,Breakout,heart transplant,rising,topic
live,Breakout,heart transplant,rising,topic
Waiting list,"+4,550%",heart transplant,rising,topic
ICD-10-CM,+950%,heart transplant,rising,topic
Organ donation,+550%,heart transplant,rising,topic
Chronic condition,+500%,heart transplant,rising,topic
Cardiologist,+450%,heart transplant,rising,topic
Dicentra,+400%,heart transplant,rising,topic
Human,+190%,heart transplant,rising,topic
Life,+160%,heart transplant,rising,topic
Survival rate,+70%,heart transplant,rising,topic
Liver,100,liver transplant,top,topic
Organ transplantation,100,liver transplant,top,topic
Liver transplantation,95,liver transplant,top,topic
Patient,6,liver transplant,top,topic
Kidney,5,liver transplant,top,topic
Donation,5,liver transplant,top,topic
Disease,5,liver transplant,top,topic
Cirrhosis,4,liver transplant,top,topic
Hospital,4,liver transplant,top,topic
Michelle Trachtenberg,4,liver transplant,top,topic
Surgery,4,liver transplant,top,topic
Liver disease,3,liver transplant,top,topic
Kidney transplantation,3,liver transplant,top,topic
Cancer,3,liver transplant,top,topic
ICD-10,2,liver transplant,top,topic
Alcoholic beverage,2,liver transplant,top,topic
Liver failure,2,liver transplant,top,topic
Life,2,liver transplant,top,topic
Heart,2,liver transplant,top,topic
Survival rate,2,liver transplant,top,topic
Life expectancy,2,liver transplant,top,topic
Model for End-Stage Liver Disease,2,liver transplant,top,topic
Organ,2,liver transplant,top,topic
Alcoholism,1,liver transplant,top,topic
Organ donation,1,liver transplant,top,topic
Michelle Trachtenberg,Breakout,liver transplant,rising,topic
Waiting list,Breakout,liver transplant,rising,topic
extant,Breakout,liver transplant,rising,topic
Mayo,Breakout,liver transplant,rising,topic
Diagnosis,Breakout,liver transplant,rising,topic
live,Breakout,liver transplant,rising,topic
Organ donation,"+1,500%",liver transplant,rising,topic
ICD-10-CM,"+1,150%",liver transplant,rising,topic
"University of California, San Francisco",+650%,liver transplant,rising,topic
Cause of death,+550%,liver transplant,rising,topic
Chronic condition,+400%,liver transplant,rising,topic
Life,+130%,liver transplant,rising,topic
Alcoholic beverage,+70%,liver transplant,rising,topic
Survival rate,+50%,liver transplant,rising,topic
Kidney,100,kidney transplant,top,topic
Organ transplantation,96,kidney transplant,top,topic
Kidney transplantation,87,kidney transplant,top,topic
Patient,10,kidney transplant,top,topic
Disease,5,kidney transplant,top,topic
Donation,5,kidney transplant,top,topic
Surgery,4,kidney transplant,top,topic
Hospital,4,kidney transplant,top,topic
Blood,4,kidney transplant,top,topic
Kidney dialysis,3,kidney transplant,top,topic
Liver,3,kidney transplant,top,topic
ICD-10,3,kidney transplant,top,topic
Kidney disease,3,kidney transplant,top,topic
Selena Gomez,3,kidney transplant,top,topic
Pharmaceutical drug,2,kidney transplant,top,topic
Heart,2,kidney transplant,top,topic
Kidney failure,2,kidney transplant,top,topic
Organ,2,kidney transplant,top,topic
Chronic kidney disease,2,kidney transplant,top,topic
Liver transplantation,2,kidney transplant,top,topic
Pig,2,kidney transplant,top,topic
Life,2,kidney transplant,top,topic
ICD-10-CM,2,kidney transplant,top,topic
Urine,1,kidney transplant,top,topic
Organ donation,1,kidney transplant,top,topic
Selena Gomez kidney transplant,Breakout,kidney transplant,rising,topic
Mayo,Breakout,kidney transplant,rising,topic
