search_term,type,source,variants
cystic fibrosis,['lung transplant'],google trends,"['cystic fibrosis', 'fibrosis']"
pancreas transplant diabetes,['pancreas transplant'],google trends,"['pancreas transplant diabetes', 'diabetes']"
kidney and pancreas transplant,['pancreas transplant'],google trends,['kidney and pancreas transplant']
pancreas transplant cancer,['pancreas transplant'],google trends,['pancreas transplant cancer']
can you get a pancreas transplant,['pancreas transplant'],google trends,"['can you get a pancreas transplant', 'can you have a pancreas transplant']"
pancreas transplant for diabetes,['pancreas transplant'],google trends,['pancreas transplant for diabetes']
pancreas transplant icd 10,['pancreas transplant'],google trends,['pancreas transplant icd 10']
pancreas transplant cost,['pancreas transplant'],google trends,['pancreas transplant cost']
pancreas transplant for cancer,['pancreas transplant'],google trends,['pancreas transplant for cancer']
pancreas transplant for type 1 diabetes,['pancreas transplant'],google trends,"['pancreas transplant for type 1 diabetes', 'type 1 diabetes']"
pancreas transplant surgery,['pancreas transplant'],google trends,['pancreas transplant surgery']
pig pancreas transplant,['pancreas transplant'],google trends,['pig pancreas transplant']
organ transplantation,"['heart transplant', 'liver transplant', 'kidney transplant', 'lung transplant', 'pancreas transplant']",google trends,['organ transplantation']
hospital,"['heart transplant', 'liver transplant', 'kidney transplant', 'lung transplant']",google trends,['hospital']
icd-10,"['heart transplant', 'liver transplant', 'kidney transplant']",google trends,"['icd-10', 'icd-10-cm']"
organ donation,"['heart transplant', 'liver transplant', 'kidney transplant']",google trends,['organ donation']
asian bleeding-heart,['heart transplant'],google trends,['asian bleeding-heart']
waiting list,"['heart transplant', 'liver transplant']",google trends,['waiting list']
chronic condition,"['heart transplant', 'liver transplant', 'kidney transplant']",google trends,['chronic condition']
cardiologist,['heart transplant'],google trends,['cardiologist']
dicentra,['heart transplant'],google trends,['dicentra']
alcoholism,['liver transplant'],google trends,['alcoholism']
diagnosis,"['liver transplant', 'kidney transplant', 'lung transplant']",google trends,['diagnosis']
blood,['kidney transplant'],google trends,['blood']
