flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-451.09,206.6,47.75,214.19,1.478,0.116,0.371,0.10246679316888045,54,43,0.8604651162790697,0.6851851851851852,True,0.2592592592592593,0.3148148148148148,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.2037037037037037,0.0,0.0,0.0,0.5,0.0,59.56,57.26,8.44,0.303,3.53,0.162,th-oxjfpsfc,2788,527
-1185.88,493.17,51.27,508.26,1.273,0.056,0.306,0.04914196567862714,63,55,0.8909090909090909,0.7777777777777778,True,0.6857142857142857,0.7142857142857143,0.06349206349206349,0.07936507936507936,0.047619047619047616,0.0,0.0,0.015873015873015872,0.14285714285714285,0.0,0.0,0.047619047619047616,0.6031746031746031,0.333,62.33,69.32,8.43,0.14,3.61,0.183,P2sQ_UkE_38,6186,1281
-653.84,288.04,43.12,297.98,1.307,0.066,0.384,0.07702523240371846,58,51,0.9411764705882353,0.8275862068965517,True,0.517241379310345,0.5,0.05172413793103448,0.017241379310344827,0.13793103448275862,0.0,0.0,0.0,0.06896551724137931,0.08620689655172414,0.0,0.0,0.6379310344827587,0.28,31.4,33.11,6.08,0.09,3.11,0.18,u4e3FkT4Me0,3696,748
-269.52,139.29,34.42,145.43,1.36,0.084,0.458,0.07584269662921349,27,22,0.8181818181818182,0.6666666666666666,True,0.3555555555555556,0.37037037037037035,0.037037037037037035,0.1111111111111111,0.37037037037037035,0.0,0.0,0.0,0.07407407407407407,0.1111111111111111,0.0,0.0,0.2962962962962963,0.111,41.56,49.47,7.22,0.161,3.51,0.187,GMkXQdu_QCg,1850,354
-681.89,294.19,57.63,303.53,1.531,0.122,0.357,0.09366754617414248,71,58,0.8793103448275862,0.7183098591549296,True,0.38873239436619733,0.36619718309859156,0.07042253521126761,0.0,0.19718309859154928,0.0,0.014084507042253521,0.0,0.0,0.028169014084507043,0.0,0.0,0.6901408450704225,2.2,154.8,188.4,11.0,0.401,4.82,0.103,a8RDH7FhYJo,4291,756
-304.23,150.34,37.88,155.97,1.47,0.097,0.517,0.13541666666666666,52,43,0.9534883720930233,0.7884615384615384,False,0.20769230769230784,0.28846153846153844,0.019230769230769232,0.038461538461538464,0.057692307692307696,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.8269230769230769,0.143,55.86,51.3,8.57,0.212,4.07,0.138,SL60lZ_Zn9k,2047,386
-657.39,289.04,43.12,298.56,1.325,0.066,0.325,0.0697986577181208,52,42,0.8809523809523809,0.7115384615384616,True,0.49230769230769234,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.09615384615384616,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.038461538461538464,0.7307692307692307,0.471,45.06,53.1,7.47,0.119,3.94,0.195,A6NgXuT5r4w,3766,744
-289.7,146.33,33.89,151.77,1.394,0.078,0.488,0.11528150134048257,43,31,0.7096774193548387,0.5116279069767442,False,0.17674418604651176,0.27906976744186046,0.0,0.046511627906976744,0.06976744186046512,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.7674418604651163,0.2,39.0,53.95,5.9,0.147,3.86,0.187,GVMLtd8qlhk,1994,376
-819.88,353.19,37.88,364.48,1.242,0.041,0.306,0.04956896551724138,46,43,0.9302325581395349,0.8695652173913043,True,0.4956521739130435,0.4782608695652174,0.043478260869565216,0.13043478260869565,0.2391304347826087,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.0,0.021739130434782608,0.43478260869565216,0.056,26.72,25.41,6.47,0.062,3.1,0.234,PGcYgfmdAgI,4441,914
-10861.45,4208.25,188.68,4318.61,1.4,0.098,0.129,0.0032063026749725174,35,26,0.7692307692307693,0.5714285714285714,True,0.8,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.7714285714285715,0.127,33.85,46.31,6.64,0.006,3.6,0.168,GjwguQgnCK0,56977,10829
