video_id,entity_total,count_detailed_description,count_diagnostic_procedure,count_disease_disorder,count_history,count_clinical_event,count_nonbiological_location,count_duration,count_biological_structure,count_therapeutic_procedure,count_coreference
1xVsO9MyRC4,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oNSWObWncA8,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oNSWObWncA8,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oNSWObWncA8,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oNSWObWncA8,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VnP22uk1RCw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VnP22uk1RCw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VnP22uk1RCw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VnP22uk1RCw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDcQz0CLVHM,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDcQz0CLVHM,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDcQz0CLVHM,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDcQz0CLVHM,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oj5N4H6Y9wg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oj5N4H6Y9wg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oj5N4H6Y9wg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oj5N4H6Y9wg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tUZaEuBnycc,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tUZaEuBnycc,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68XsPhyMEZA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68XsPhyMEZA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCe8XZqlGNg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCe8XZqlGNg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ID0wHwGDSY,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ID0wHwGDSY,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h8XjBVpItwU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h8XjBVpItwU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pke1WhLNoHc,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pke1WhLNoHc,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7YRFE8tg-gY,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7YRFE8tg-gY,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zPXphpl7gco,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zPXphpl7gco,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9B30ZUzpXwU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9B30ZUzpXwU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olShnT7Oyo0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olShnT7Oyo0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iyT00P2BR_M,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iyT00P2BR_M,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qg8Z8SinIdE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qg8Z8SinIdE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4TwLNSc5jLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4TwLNSc5jLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYWmYJNg5Jw,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYWmYJNg5Jw,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXnCwKr4xD8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXnCwKr4xD8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V26Osvn0Yb8,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p7XaXR5vgHU,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fMuGNy2oCzI,17,0.0,0.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0
