video_id,entity_total,count_nonbiological_location,count_subject,count_coreference,count_detailed_description,count_lab_value,count_time,count_biological_structure,count_therapeutic_procedure,count_diagnostic_procedure,count_disease_disorder,count_occupation,count_duration,count_date,count_sign_symptom,count_clinical_event,count_age,count_frequency,count_history,count_activity,count_other_event,count_medication,count_family_history,count_dosage,count_outcome,count_qualitative_concept,count_personal_background,count_severity,count_quantitative_concept,count_sex
b6Qjmv7l8Z8,48,9.0,0.0,1.0,16.0,0.0,2.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qGXVjGDdLzY,53,0.0,7.0,15.0,7.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hww7yrz9Puk,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PQPtiFviAE8,56,2.0,6.0,9.0,7.0,3.0,0.0,0.0,4.0,4.0,8.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDxqRQpGtVc,26,3.0,1.0,3.0,2.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QwTMQQURcoQ,29,1.0,0.0,0.0,8.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
g2ZUZ5nbabs,31,4.0,6.0,0.0,3.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ESAlImjJ8s,41,5.0,0.0,0.0,7.0,3.0,0.0,8.0,4.0,2.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_G9L_4Ya9KA,44,1.0,8.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LenqxLARhmU,37,3.0,0.0,1.0,6.0,1.0,0.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
XF0pjsWwYj8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
