flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
74.59,7.68,9.77,10.19,1.33,0.07,0.488,0.0030303030303030303,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.29,13.21,6.94,0.09,3.03,0.148,pSvXNuTjJII,1701,330
-3311.33,1303.38,131.13,1338.56,1.586,0.151,0.24,0.020112392783200237,68,53,0.8301886792452831,0.6470588235294118,True,0.8,1.0,0.16176470588235295,0.07352941176470588,0.23529411764705882,0.0,0.0,0.058823529411764705,0.14705882352941177,0.0,0.0,0.0,0.3235294117647059,1.28,138.92,148.96,14.44,0.089,5.33,0.107,nTe60stNjHM,19712,3378
63.38,8.83,15.2,11.11,1.483,0.12,0.373,0.006227758007117438,7,6,0.8333333333333334,0.7142857142857143,True,0.6857142857142857,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.136,17.11,10.93,6.24,0.03,3.08,0.121,uSVLTBsn9tk,6591,1096
-74.53,59.68,31.12,64.07,1.586,0.166,0.621,0.20270270270270271,30,26,0.8461538461538461,0.7333333333333333,False,0.14666666666666672,0.26666666666666666,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.6333333333333333,1.5,75.0,29.7,13.0,0.467,2.81,0.1,9dZNCABOkRI,836,148
31.04,14.92,21.67,17.11,1.789,0.211,0.288,0.01383399209486166,21,18,0.8333333333333334,0.7142857142857143,True,0.8,1.0,0.47619047619047616,0.09523809523809523,0.09523809523809523,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.23809523809523808,0.206,24.67,21.83,7.86,0.028,3.35,0.084,RU1barytFxY,9971,1516
-166.35,93.35,38.81,97.19,1.664,0.17,0.59,0.1645021645021645,38,29,0.8275862068965517,0.631578947368421,True,0.1473684210526316,0.3157894736842105,0.10526315789473684,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.10526315789473684,0.0,0.0,0.7368421052631579,0.0,236.0,0.0,20.0,0.917,3.51,0.11,_tW26dKDKlM,1358,231
65.62,9.07,17.24,11.82,1.43,0.113,0.264,0.0024449877750611247,4,4,1.0,1.0,True,0.8,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.15,21.45,13.56,6.28,0.026,4.02,0.164,SerorAMH4D4,8903,1628
-1167.99,483.97,59.68,498.38,1.386,0.079,0.301,0.030473135525260625,38,32,0.90625,0.7631578947368421,True,0.6631578947368422,0.6578947368421053,0.2894736842105263,0.07894736842105263,0.15789473684210525,0.0,0.0,0.02631578947368421,0.10526315789473684,0.0,0.0,0.0,0.34210526315789475,0.154,49.19,68.52,8.42,0.06,4.72,0.133,uZMK2RTQIHE,6728,1244
59.69,8.77,12.46,11.65,1.554,0.173,0.64,0.028169014084507043,4,4,1.0,1.0,True,0.7,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,16.11,7.75,6.11,0.175,3.39,0.103,-mjXDwjvkNI,851,142
42.48,12.57,13.89,14.3,1.69,0.168,0.552,0.08620689655172414,20,8,0.625,0.25,True,0.21999999999999997,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,21.55,6.25,7.09,0.149,3.37,0.118,qtwAEZnOgIw,1402,232
-1323.56,542.19,72.63,558.24,1.461,0.107,0.293,0.045,63,56,0.875,0.7777777777777778,True,0.6476190476190478,0.6190476190476191,0.07936507936507936,0.0,0.15873015873015872,0.0,0.0,0.031746031746031744,0.06349206349206349,0.031746031746031744,0.0,0.0,0.6349206349206349,0.654,55.27,64.15,8.04,0.078,4.38,0.164,IpT4OGpGLJs,7622,1397
-3008.27,1184.84,140.24,1217.53,1.687,0.19,0.333,0.02663671373555841,83,71,0.8591549295774648,0.7349397590361446,True,0.8,1.0,0.12048192771084337,0.0,0.1927710843373494,0.0,0.0,0.0,0.04819277108433735,0.024096385542168676,0.0,0.012048192771084338,0.6024096385542169,1.172,108.66,116.29,10.83,0.058,5.14,0.063,5Oo9Q6Iot4Y,18917,3111
-44.93,42.63,31.69,46.66,1.86,0.269,0.72,0.13978494623655913,13,13,1.0,1.0,True,0.2153846153846155,0.3076923076923077,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.7692307692307693,0.0,49.0,49.5,10.0,0.5,2.74,0.092,Hq5lLITW1L4,603,93
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,oNr40ajykIs,63,10
