flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-553.87,248.26,41.87,256.58,1.373,0.072,0.409,0.09937888198757763,64,53,0.8867924528301887,0.734375,True,0.34375,0.34375,0.078125,0.125,0.09375,0.0,0.046875,0.046875,0.015625,0.109375,0.0,0.0,0.484375,0.417,55.5,70.7,8.67,0.178,4.95,0.174,c2t6VMGUfWU,3347,641
-390.66,181.53,43.52,187.04,1.568,0.109,0.41,0.19829424307036247,93,62,0.7741935483870968,0.5161290322580645,True,0.21505376344086025,0.3225806451612903,0.06451612903225806,0.1935483870967742,0.21505376344086022,0.0,0.15053763440860216,0.021505376344086023,0.0,0.10752688172043011,0.0,0.0,0.24731182795698925,2.5,238.5,68.59,14.5,0.578,4.36,0.09,fm2fxqrxz18,2755,467
-71.8,57.81,30.53,61.93,1.626,0.165,0.64,0.18055555555555555,26,22,0.8636363636363636,0.7307692307692307,False,0.1692307692307693,0.2692307692307692,0.07692307692307693,0.038461538461538464,0.23076923076923078,0.0,0.23076923076923078,0.038461538461538464,0.0,0.0,0.0,0.0,0.38461538461538464,4.0,147.0,0.0,10.0,0.857,4.93,0.129,7HChH-3NHQw,869,142
-74.85,57.98,32.26,62.16,1.674,0.188,0.63,0.23404255319148937,33,27,0.8518518518518519,0.696969696969697,False,0.08484848484848495,0.24242424242424243,0.06060606060606061,0.030303030303030304,0.21212121212121213,0.0,0.18181818181818182,0.030303030303030304,0.0,0.0,0.0,0.0,0.48484848484848486,4.0,142.0,0.0,11.0,0.857,3.82,0.141,7c0C1RmdsvU,868,139
-8946.43,3468.14,223.5,3559.36,1.608,0.167,0.181,0.005118504506509402,46,38,0.8947368421052632,0.7391304347826086,True,0.8,1.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.8913043478260869,2.34,182.22,231.95,12.18,0.036,5.29,0.094,Xk9_bv8Dgfk,52500,8983
-293.15,147.56,35.95,153.17,1.399,0.088,0.5,0.18556701030927836,72,65,0.9538461538461539,0.8611111111111112,False,0.13888888888888884,0.2638888888888889,0.05555555555555555,0.18055555555555555,0.20833333333333334,0.0,0.013888888888888888,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.0,0.013888888888888888,0.4166666666666667,1.0,80.6,76.52,10.6,0.341,4.45,0.161,wIriYWb0TCo,2058,385
-2788.12,1105.69,98.21,1136.29,1.424,0.098,0.224,0.014940931202223767,43,39,0.9230769230769231,0.8372093023255814,True,0.8,1.0,0.0,0.13953488372093023,0.11627906976744186,0.0,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.6744186046511628,0.929,105.75,99.48,9.86,0.065,4.45,0.166,Mx6V-iaAB38,15507,2866
70.1,6.79,10.04,8.68,1.457,0.11,0.566,0.04261363636363636,15,15,1.0,1.0,True,0.3466666666666667,0.4,0.0,0.13333333333333333,0.26666666666666666,0.0,0.0,0.2,0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.154,13.96,6.72,5.69,0.07,3.26,0.129,7WYkUta7YNw,1969,350
75.39,6.13,8.61,7.45,1.39,0.067,0.472,0.014450867052023121,5,5,1.0,1.0,True,0.48,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.12,14.28,9.06,5.24,0.079,2.93,0.174,vRcaFfLIumE,1839,345
-870.07,370.62,49.89,382.36,1.332,0.071,0.368,0.08016443987667009,78,69,0.9130434782608695,0.8076923076923077,True,0.5692307692307692,0.5,0.10256410256410256,0.1794871794871795,0.1282051282051282,0.0,0.01282051282051282,0.02564102564102564,0.1282051282051282,0.08974358974358974,0.0,0.01282051282051282,0.32051282051282054,0.097,32.84,45.23,6.35,0.06,3.74,0.184,ju0OfsPBjtg,4899,965
-240.18,127.0,34.94,132.3,1.409,0.096,0.52,0.1388888888888889,45,38,0.8947368421052632,0.7555555555555555,False,0.09777777777777774,0.24444444444444444,0.0,0.1111111111111111,0.15555555555555556,0.0,0.022222222222222223,0.0,0.2222222222222222,0.08888888888888889,0.0,0.022222222222222223,0.37777777777777777,1.0,168.5,235.47,10.0,0.9,7.41,0.119,zRIEIE-sSn0,1787,326
81.32,4.99,11.28,6.98,1.335,0.066,0.345,0.0021344717182497333,2,2,1.0,1.0,True,0.8,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.065,12.55,7.71,4.91,0.028,3.1,0.17,1V55BPw5Bp8,5045,931
