video_id,entity_total,count_diagnostic_procedure,count_detailed_description,count_therapeutic_procedure,count_frequency,count_nonbiological_location,count_quantitative_concept,count_biological_structure,count_date,count_clinical_event,count_duration,count_sign_symptom,count_disease_disorder,count_color,count_medication,count_lab_value,count_other_event,count_subject,count_personal_background,count_coreference,count_severity,count_time,count_activity,count_age,count_sex,count_family_history,count_dosage,count_outcome,count_other_entity,count_history,count_occupation
ShLVlAiBGKI,86,2.0,7.0,10.0,1.0,17.0,0.0,2.0,6.0,3.0,7.0,9.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
VH7NCjBFCEc,63,0.0,13.0,9.0,0.0,8.0,2.0,0.0,1.0,4.0,0.0,11.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
_gdaO4cu9OE,55,9.0,7.0,3.0,1.0,4.0,0.0,0.0,7.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
QQK1zR6rUX4,98,2.0,33.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bw-oAZAg0jU,44,2.0,7.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
xeBlz35iADs,10,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
A6ms95Ru9ys,102,0.0,20.0,14.0,1.0,9.0,1.0,2.0,6.0,3.0,5.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
08hdxfjlMR4,22,0.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YHweeD5Fo60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oj7ynfHNl4A,9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2J6WUkDBrWU,41,7.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uIrNKRnmgkk,21,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbgAG9Qpbz0,23,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
V2n9XohqbIs,80,4.0,16.0,11.0,1.0,12.0,1.0,0.0,1.0,3.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
wNSudshRp-U,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZRwgrSWy3Mw,74,1.0,15.0,4.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,21.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
9PwfiOuHrjA,57,0.0,10.0,2.0,0.0,7.0,0.0,1.0,5.0,1.0,2.0,13.0,4.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tJDYOP_6DOI,71,0.0,15.0,11.0,1.0,12.0,0.0,5.0,0.0,4.0,2.0,0.0,8.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rX7g2i88HvI,16,2.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3Fnf2wMr1Lc,71,5.0,11.0,3.0,1.0,5.0,0.0,6.0,4.0,3.0,0.0,10.0,7.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eoRauYjvl6s,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UmGeQUupMFk,80,1.0,18.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,1.0,0.0,17.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0
-DGB139NQg8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kBIxxUPiGxE,67,13.0,3.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,20.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Eeo6m0Gzicw,61,2.0,13.0,23.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XYhMdVFZIn4,59,2.0,5.0,8.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,6.0,0.0,7.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
tJKQoODrwrE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IJW1nCE7-t0,6,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
