video_id,entity_total,count_lab_value,count_coreference,count_detailed_description,count_therapeutic_procedure,count_diagnostic_procedure,count_date,count_duration,count_medication,count_biological_structure,count_subject,count_disease_disorder,count_sign_symptom,count_nonbiological_location,count_family_history,count_time,count_activity,count_clinical_event,count_frequency,count_age,count_quantitative_concept,count_sex,count_history,count_severity,count_outcome,count_other_event,count_area,count_occupation,count_qualitative_concept,count_dosage,count_other_entity
vw9RdfOeS1g,59,12.0,3.0,7.0,19.0,3.0,2.0,2.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EK7Fq2gkFrQ,88,3.0,21.0,13.0,12.0,4.0,2.0,2.0,5.0,8.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V87uqWrEt2I,47,1.0,3.0,10.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0M9uEVj9qx0,46,7.0,8.0,5.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8aVfKCcZhOQ,72,3.0,11.0,22.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0,8.0,6.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QiqQf4m_Quc,83,1.0,7.0,18.0,3.0,4.0,2.0,0.0,0.0,6.0,14.0,5.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zCCXA9odpNQ,23,2.0,1.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMFFneqvhm8,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2S3nrwOPPE,58,9.0,1.0,17.0,4.0,2.0,2.0,0.0,2.0,4.0,5.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
nK3kUM3zQjw,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wo7iYxplYcA,59,1.0,6.0,28.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbrFLzbVFTA,58,6.0,9.0,8.0,11.0,2.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rp5eI2qP-kw,25,3.0,3.0,3.0,2.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RP7clFVsYsk,55,7.0,10.0,13.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ln69iJGFong,33,1.0,12.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cUQXqZObNzM,39,0.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G8xkRNuzVWs,66,2.0,3.0,1.0,25.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,14.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RgXVbmUZmHk,45,0.0,13.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71gCL53Tl24,74,0.0,4.0,22.0,5.0,1.0,4.0,3.0,0.0,3.0,4.0,3.0,19.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2kpXjTNMBE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KvJtFDyf-p4,52,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KPDmx9BwEAs,45,2.0,5.0,6.0,11.0,3.0,0.0,0.0,0.0,8.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2QKwDGlpVBo,55,0.0,3.0,3.0,9.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,10.0,11.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HfKHpFF48X8,61,5.0,7.0,8.0,4.0,1.0,1.0,12.0,1.0,4.0,1.0,11.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nJa_sYU2GSA,54,10.0,2.0,4.0,12.0,4.0,5.0,3.0,0.0,6.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oTNmnqfuoEQ,102,4.0,6.0,9.0,8.0,8.0,6.0,4.0,0.0,9.0,0.0,8.0,16.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
DOu9IuNkObw,44,2.0,12.0,8.0,4.0,0.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xdHgr_BIcy4,21,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
