video_id,entity_total,count_nonbiological_location,count_therapeutic_procedure,count_detailed_description,count_coreference,count_activity,count_diagnostic_procedure,count_clinical_event,count_subject,count_sign_symptom,count_occupation,count_lab_value,count_frequency,count_history,count_family_history,count_biological_structure,count_date,count_personal_background,count_disease_disorder,count_outcome,count_time,count_age,count_duration,count_other_entity,count_quantitative_concept,count_medication,count_severity,count_sex,count_other_event,count_distance,count_texture
048MToVYJmI,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3NIDPxv1FE,26,5.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esZMkvNBgsk,80,0.0,17.0,17.0,16.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
07wh0brpo4Y,8,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EbsM1jhu1Qo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3lVXurnurXo,56,0.0,5.0,21.0,11.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JpK-Dm9Nfvs,36,4.0,0.0,20.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZgzU2RFFm6g,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiy5_U66S7s,102,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
kqlIugrHp38,72,3.0,10.0,9.0,1.0,0.0,4.0,1.0,2.0,5.0,0.0,8.0,0.0,0.0,0.0,13.0,3.0,0.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
BfLtqOL3hxw,13,0.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9U4KgYToIGQ,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fC-UdptaLLY,88,3.0,8.0,8.0,1.0,0.0,1.0,4.0,5.0,7.0,0.0,2.0,4.0,1.0,3.0,8.0,10.0,0.0,9.0,2.0,4.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
uWhvUpcxaDI,80,8.0,5.0,16.0,0.0,5.0,0.0,4.0,9.0,7.0,1.0,3.0,2.0,0.0,4.0,1.0,6.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QwAk_NS7vsg,53,0.0,0.0,5.0,8.0,1.0,4.0,1.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843uqzmkONQ,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
