video_id,entity_total,count_age,count_detailed_description,count_sign_symptom,count_activity,count_frequency,count_history,count_date,count_disease_disorder,count_nonbiological_location,count_therapeutic_procedure,count_clinical_event,count_severity,count_diagnostic_procedure,count_lab_value,count_biological_structure,count_coreference,count_outcome,count_subject,count_time,count_family_history,count_medication,count_duration,count_sex,count_quantitative_concept,count_distance,count_personal_background,count_dosage,count_other_event,count_color,count_occupation,count_other_entity,count_qualitative_concept
acFsqewZenI,82,2.0,13.0,7.0,6.0,2.0,0.0,4.0,4.0,2.0,13.0,1.0,0.0,6.0,2.0,2.0,8.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C0z6CudidMU,24,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Bow5eOa8Jcg,134,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,69.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
r4v-X9uT6nI,38,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
hsgQ_oZP_VM,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
rvjoJGas074,73,1.0,4.0,13.0,3.0,2.0,0.0,3.0,6.0,2.0,7.0,3.0,1.0,13.0,5.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mYTKDineB5k,136,0.0,42.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,16.0,1.0,0.0,26.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
bmIzCu2FMHU,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCRHj8LV37A,47,0.0,5.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,4.0,11.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
tWn54DCLva4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DA-WQ8nMO7E,84,0.0,5.0,16.0,0.0,0.0,0.0,1.0,29.0,0.0,19.0,1.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLzRT5kWsPE,26,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6clBivgLmXI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_23bzrxbiSs,64,0.0,6.0,5.0,3.0,1.0,1.0,2.0,2.0,3.0,11.0,0.0,0.0,1.0,6.0,2.0,3.0,2.0,6.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
vk3B1EmqhCM,40,2.0,5.0,6.0,0.0,0.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN5DPqzFUr8,71,0.0,6.0,1.0,1.0,0.0,0.0,1.0,5.0,7.0,8.0,1.0,0.0,6.0,2.0,3.0,22.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zaOAOq0CoO4,35,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,6.0,5.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXSx9i6Og0E,52,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,4.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNfAkgnIcH4,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgBbm5fInak,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SsXXGYdBdGk,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_eO81Aw2I2I,51,0.0,9.0,6.0,0.0,4.0,0.0,0.0,12.0,1.0,7.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iqiz1Ctl6tA,51,0.0,3.0,6.0,8.0,0.0,4.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
7yrWedfurm4,32,0.0,1.0,4.0,2.0,0.0,0.0,4.0,1.0,7.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yPLV2MsjRXY,47,0.0,4.0,2.0,0.0,0.0,0.0,1.0,8.0,6.0,6.0,0.0,0.0,2.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xl03G2Nn2Tw,53,1.0,6.0,2.0,8.0,1.0,3.0,2.0,0.0,5.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GXyEZXJCoYc,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
igCTRbIFh0U,91,2.0,15.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,31.0,1.0,0.0,3.0,3.0,2.0,6.0,2.0,3.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uoyXp4_I538,69,0.0,17.0,9.0,0.0,0.0,0.0,0.0,14.0,0.0,19.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
