video_id,entity_total,count_detailed_description,count_other_event,count_therapeutic_procedure,count_nonbiological_location,count_date,count_occupation,count_subject,count_family_history,count_diagnostic_procedure,count_frequency,count_coreference,count_time,count_activity,count_sign_symptom,count_disease_disorder,count_biological_structure,count_severity,count_quantitative_concept,count_clinical_event,count_outcome,count_history,count_duration,count_lab_value,count_medication,count_age,count_sex,count_personal_background,count_distance,count_qualitative_concept,count_other_entity,count_texture,count_shape,count_dosage,count_volume
fIzPJ2zuthM,92,31.0,2.0,12.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,1.0,5.0,2.0,7.0,0.0,1.0,2.0,1.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5YG5fnuJmNQ,55,19.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kdvm8L9U57E,67,11.0,0.0,6.0,3.0,5.0,0.0,9.0,2.0,1.0,1.0,2.0,9.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdMLyJZ-FRM,66,6.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KFerP18ONoA,62,21.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aCiBAKptNnA,50,9.0,0.0,4.0,6.0,2.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i1I_Oxmm9Fs,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5yuETMKLq0,37,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_aLlYwGVVo4,45,3.0,0.0,4.0,4.0,1.0,0.0,10.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
eE1N5wKmeAA,103,26.0,3.0,7.0,6.0,1.0,0.0,4.0,2.0,2.0,1.0,13.0,0.0,0.0,8.0,9.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
