video_id,entity_total,count_nonbiological_location,count_detailed_description,count_coreference,count_therapeutic_procedure,count_lab_value,count_biological_structure,count_subject,count_other_event,count_clinical_event,count_diagnostic_procedure,count_frequency,count_disease_disorder,count_duration,count_quantitative_concept,count_activity,count_age,count_date,count_history,count_occupation,count_personal_background,count_sign_symptom,count_time,count_severity,count_qualitative_concept,count_sex,count_medication,count_outcome,count_family_history,count_color,count_dosage,count_other_entity
X1TNDxC5O_0,73,3.0,13.0,19.0,6.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
1Qqef5XHazY,84,4.0,15.0,15.0,19.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
XBE8AkDCUoY,26,3.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g25kuBQhxlY,16,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
GmogW5O95-I,94,2.0,15.0,10.0,12.0,16.0,4.0,0.0,0.0,0.0,11.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
cdVvu9eIAeo,55,5.0,3.0,8.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
BGz7jrZEslA,40,7.0,8.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
aL1wROtw1Qk,64,7.0,8.0,5.0,9.0,0.0,9.0,3.0,0.0,7.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oFFAIe_38Ok,62,0.0,2.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
tQZ6cGxXMdQ,64,3.0,12.0,11.0,2.0,7.0,0.0,3.0,2.0,0.0,5.0,2.0,5.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
57E0mZvygpc,68,3.0,3.0,0.0,14.0,1.0,11.0,0.0,0.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apC6XI2OfWk,47,1.0,8.0,10.0,1.0,6.0,0.0,1.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
OxxUAx0Xd6o,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bCrWG2C3MjQ,53,5.0,5.0,5.0,1.0,7.0,0.0,6.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
51bRSMepzZ8,35,5.0,11.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SuKGF6Fne3E,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axlPSEK0Xo8,51,7.0,2.0,2.0,14.0,0.0,1.0,5.0,0.0,7.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
UxQQd3Qo1MQ,68,2.0,19.0,4.0,10.0,14.0,3.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
AjIy9AzhbxE,18,5.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ym98DXY-Nys,65,3.0,6.0,5.0,9.0,7.0,2.0,1.0,0.0,4.0,4.0,1.0,5.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
