video_id,entity_total,count_therapeutic_procedure,count_detailed_description,count_coreference,count_family_history,count_lab_value,count_quantitative_concept,count_diagnostic_procedure,count_outcome,count_sign_symptom,count_time,count_disease_disorder,count_biological_structure,count_nonbiological_location,count_clinical_event,count_medication,count_subject,count_duration,count_date,count_other_event,count_frequency,count_personal_background,count_age,count_activity,count_history,count_occupation,count_other_entity,count_dosage,count_sex,count_administration,count_severity,count_volume
yZ2jdYoZeFw,34,0.0,3.0,5.0,0.0,4.0,0.0,3.0,0.0,6.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lvSks9_fu0A,52,7.0,11.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,2.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-QtYNPHW0mQ,17,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wTLB9QOTw3w,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4CCA9ojRAoU,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kGlGGqoF5-o,10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
krjuiYAzBkk,59,7.0,6.0,2.0,0.0,2.0,0.0,3.0,0.0,7.0,1.0,4.0,2.0,6.0,2.0,0.0,9.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2uD0VmPdGIE,27,0.0,3.0,0.0,2.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
tDrKOe8cs_0,70,11.0,8.0,7.0,2.0,1.0,0.0,3.0,1.0,13.0,1.0,4.0,0.0,7.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGZRMHA4ics,56,16.0,5.0,8.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
