video_id,entity_total,count_biological_structure,count_disease_disorder,count_lab_value,count_diagnostic_procedure,count_date,count_detailed_description,count_medication,count_therapeutic_procedure,count_sign_symptom,count_nonbiological_location,count_subject,count_family_history,count_time,count_clinical_event,count_other_event,count_duration,count_coreference,count_sex,count_personal_background,count_age,count_frequency,count_quantitative_concept,count_severity,count_other_entity,count_activity,count_outcome,count_occupation,count_history
_azwDRYItok,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ysL6kVwgS_A,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yeIap1tcWyU,9,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
NoL_BvJCROQ,69,3.0,1.0,5.0,1.0,3.0,5.0,0.0,7.0,9.0,10.0,4.0,1.0,4.0,7.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
akKsSj4j21o,64,7.0,5.0,1.0,6.0,1.0,2.0,0.0,6.0,10.0,10.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
88h6CvWDFl4,17,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
xZfmLtPXQOo,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5bEVFzJQNIQ,17,2.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1l6Ir3-ZpY,11,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
t_r2QzCzRl8,10,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eLLae4MIEM8,79,0.0,7.0,10.0,0.0,4.0,13.0,2.0,12.0,4.0,6.0,2.0,2.0,1.0,0.0,0.0,9.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Y8pyjUKHHzM,42,0.0,3.0,2.0,2.0,0.0,6.0,0.0,13.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Y3zoxc5bzB4,66,1.0,0.0,15.0,3.0,1.0,12.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3CwpSpvlJM,13,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sYMJ9ZAR6Zg,34,2.0,4.0,1.0,2.0,0.0,1.0,0.0,8.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sx5j-XcMYSM,44,2.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,8.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0
fBHW2ZjFOGg,73,9.0,1.0,17.0,4.0,1.0,6.0,1.0,3.0,8.0,1.0,11.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mrMZWoy0OJs,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iqM7j_khPro,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCYI-CNecy4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wgp5HnumLbU,79,0.0,1.0,6.0,2.0,2.0,14.0,0.0,18.0,0.0,10.0,4.0,4.0,2.0,4.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aoq1eFlWD5I,10,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
SjLTPqkdwEE,85,2.0,5.0,1.0,1.0,7.0,7.0,0.0,4.0,1.0,1.0,15.0,17.0,3.0,6.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
YKPaP2YVPSU,56,0.0,1.0,8.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,15.0,8.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
pIMrgAltmTk,38,0.0,0.0,1.0,1.0,0.0,14.0,0.0,8.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8C61LbegC3E,123,2.0,1.0,11.0,5.0,5.0,14.0,0.0,18.0,16.0,1.0,6.0,3.0,0.0,1.0,5.0,16.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0
DTz1gqtnMb8,24,0.0,3.0,2.0,2.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
