video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_unique_words,meta_like_count,meta_comment_count,meta_subscriber_count,meta_sentiment,average_word_length,lexical_diversity,medical_density,medical_mention_count,rare_term_ratio_unique,term_clustering_concentrated,term_clustering_gini,condition_ratio,symptom_ratio,therapy_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,activity_ratio,other_ratio,passive_voice_ratio,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,word_count
LZH5EQAfBVY,True,True,3425.0,56,3,0,45300,3.0,1.43,0.13,0.0027495970418128,29.0,0.9166666666666666,True,0.8,0.0344827586206896,0.0,0.2068965517241379,0.0,0.1034482758620689,0.1724137931034483,0.0,0.0,0.4827586206896552,0.13,15.92,6.17,0.004,3.27,0.137,10491.0
Lp1eghw7_7Q,True,True,431.0,41,26,3,22200,3.0,1.243,0.303,0.056245434623813,77.0,0.9,True,0.6233766233766234,0.0519480519480519,0.0649350649350649,0.0389610389610389,0.0129870129870129,0.0,0.0779220779220779,0.0259740259740259,0.1038961038961039,0.6233766233766234,0.015,20.31,5.06,0.03,2.9,0.215,1354.0
LpiytTB4ZG4,True,True,843.0,41,0,0,6800,3.0,1.53,0.224,0.0053595355069227,12.0,0.9090909090909092,True,0.8,0.0,0.0,0.0,0.25,0.0,0.1666666666666666,0.0,0.0,0.5833333333333334,0.288,9.92,6.12,0.014,3.14,0.099,2250.0
MeSYFx7ends,True,True,142.0,73,6,0,45400,3.0,1.503,0.539,0.18562874251497,62.0,0.8979591836734694,False,0.1612903225806452,0.0,0.2580645161290322,0.2741935483870967,0.0806451612903225,0.0483870967741935,0.064516129032258,0.032258064516129,0.0,0.2419354838709677,2.0,239.0,9.5,0.926,4.4,0.113,336.0
MhXkknPC_vc,True,True,1669.0,41,325,27,25800,3.0,1.499,0.197,0.0136011717932621,65.0,0.8372093023255814,True,0.8,0.0153846153846153,0.0307692307692307,0.5384615384615384,0.0,0.0153846153846153,0.0,0.0461538461538461,0.0,0.3538461538461538,1.156,215.48,10.0,0.065,4.88,0.14,4762.0
N7kj0sfe6og,True,True,164.0,106,5,0,1220000,3.0,1.504,0.406,0.1864406779661017,88.0,0.8035714285714286,False,0.1090909090909091,0.0113636363636363,0.0113636363636363,0.2613636363636363,0.0,0.0,0.0568181818181818,0.0227272727272727,0.0,0.6363636363636364,1.333,247.11,13.67,0.33,4.18,0.14,472.0
NGr8q36Cmj8,True,True,3489.0,18,2,0,45300,3.0,1.439,0.138,0.0050791753809381,51.0,0.9130434782608696,True,0.8,0.0588235294117647,0.0196078431372549,0.3529411764705882,0.0,0.0196078431372549,0.1176470588235294,0.0,0.0,0.4313725490196078,0.354,72.03,8.42,0.009,4.47,0.14,9979.0
OLKfH44FVk0,True,True,193.0,37,119,69,191000,3.0,1.373,0.511,0.147005444646098,81.0,0.7692307692307693,True,0.2617283950617284,0.1234567901234567,0.037037037037037,0.0987654320987654,0.0987654320987654,0.0246913580246913,0.037037037037037,0.0987654320987654,0.0,0.4814814814814814,0.538,64.17,5.23,0.104,4.09,0.102,547.0
OiRnjmQUylQ,True,True,223.0,74,19,3,34900,3.0,1.467,0.456,0.1605839416058394,88.0,0.8125,True,0.2727272727272727,0.0113636363636363,0.0795454545454545,0.1704545454545454,0.0113636363636363,0.1704545454545454,0.1136363636363636,0.0795454545454545,0.0,0.3636363636363636,1.375,55.76,10.62,0.189,4.78,0.115,547.0
Oj5N4H6Y9wg,True,True,139.0,108,18,0,144000,3.0,1.659,0.691,0.0078125,1.0,1.0,True,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,5.37,6.38,0.27,2.79,0.091,127.0
