feature_name,rank
meta_video_duration,1
meta_like_count,2
meta_comment_count,3
meta_subscriber_count,4
meta_sentiment,5
average_word_length,6
symptom_ratio,7
medication_ratio,8
measurement_ratio,9
other_ratio,10
sentence_length_std,11
syntax_tree_depth,12
subordinate_clause_density,13
average_dependency_distance,14
pronoun_frequency,15
